;review_body;product_category;topic
12;Ich hatte den gleichen Schuh bereits in 39 in einer anderen Farbe der gut gepasst hat. Diesmal ist die 39 zu klein. Es wurde eine Seite in 39 und eine in 37 geliefert und die Schnallen sehen total ramponiert aus. Somit geht alles wieder zurück.;shoes;Passform
13;Leider sind die Schuhe und Füße weiterhin gleich feucht in den Schuhen. Jedoch weißt das Holz das Wasser ab und saugt es nicht wie normale Sohlen auf. Daraus entsteht dann ein kleiner unangenehmer See im Schuh. Somit ist das Tragen von Schuhen ohne Sohle angenehmer.;shoes;Qualität
14;War vom Preis Leistung Verhältnis begeistert. Gute Passform, weichere Sohle, richtig angenehm und robust.. Nach einer Wintersaison ( Anfang 2018) und jetzt im Herbst (insgesamt 4 Monate getragen) löst sich bei beiden Schuhen im vorderen Bereich an der Spitze die Sohle (oben) Das heisst: Feuchtigkeit bzw Nässe kann eintreten. Vieleicht wurde hier mit Kleber gespart? Auf jeden Fall zum Ende hin entäuschend und nicht zu empfehlen.;shoes;Qualität
15;Würde diesen Schuh nie wieder kaufen, er war nach 4 Wochen Tragen kaputt . Sohle löste sich ab und an den Seiten eingerissen.;shoes;Qualität
16;Schlechte Qualität. Bei der Kleingeldtasche ist die Naht nach 2 Wochen aufgerissen.;shoes;Qualität
17;Die Sohle war ziemlich schnell durchgelaufen 😞 und daher kann ich sie nicht empfehlen. Ich würde sie für diesen Preis nicht nochmal kaufen;shoes;Qualität
18;Meine gelieferten Schuhe sind nicht Original. Das Fähnchen mit dem QR-Code fehlt. Es gibt auch keinen Aufkleber mit QR-Code. Auch der nach der Reklamation gelieferte Ersatzschuh ist kein Original. Dass Amazon (ich habe direkt dort gekauft, nicht über Marketplace) Fälschungen verkauft, hätte ich nicht erwartet, zumal auch nicht jeder Kunde die Echtheit prüft. Auch ich bin nur durch Zufall darüber gestolpert. Auspacken, einpacken, zweimal zur Post rennen, bin zum ersten Mal von Amazon genervt. Schade. Ich bin schon lange Amazon-Kunde, früher gabs eigentlich nie Reklamationen,aber in letzter Zeit muss ich öfter Gekauftes zurückschicken.;shoes;Qualität
19;Nicht empfehlenswert, brauche sie nur zum duschen auf Arbeit doch sie sind einfach kaputt gegangen. Erst löste sich eine Seite einen Tag später die andere. Sehr enttäuscht;shoes;Qualität
20;Das Produkt ist leider nie angekommen ???!! Den Verkäufer kann man leider nicht anderweitig kontaktieren, also bleibt mir nix anderes übrig, als eine negative Bewertung zu hinterlassen..;shoes;Lieferung
21;Sie sehen schön aus. Das ist aber leider auch das einzige positive was ich berichten kann. Das Leder erscheint minderwertig. Schon nach kurzem tragen ergibt sich nicht dieser typische Knick am Spann sondern eher schiebt sich das Leder irgendwie auseinander.....kann ich gar nicht beschreiben,hätte ich bei noch keinem anderen Schuh jemals. Ausserdem ist der Schaft total steif, dadurch drückt er hinten an der Wade und an der Sehne so sehr dass ich nach 2Stunden tragen beeindruckende und sehr schmerzhafte Scheuerstellen hatte. Ich habe wirklich keine empfindlichen Füsse, aber dieser Schuh grenzt für mich an Körperverletzung. Ein Stern weil es ja leider nicht möglich ist null zu geben.;shoes;Qualität
22;Die große war nicht in Ordnung, und war schief;shoes;Passform
23;Der Schuh sieht sehr billig verarbeitet aus. Es sind überall Klebereste am Schuh;shoes;Qualität
24;"Leider sind die Schuhe einfach ""geschrumpft"" (nach ca. 6 Wochen!),habe sie am Balkon gelassen,nun kann man sie leider nicht mehr tragen. Keine Ahnung was da los ist,Möglichkeit zur Reklamation gibt es anscheinend nicht.";shoes;Qualität
25;Leider hat der/die Schuh/Sandalette eine sehr große Form. Passt nicht;shoes;Passform
26;Habe mir die Schuhe bestellt und sind nie angekommen bei mir und der Verkäufer behauptet erst hab ich es bekommen dann nicht zustellbar wegen Adresse dann hat er mir irgendeine DHL Nummer geschickt wo nicht mal existiert bin gespannt ob ich überhaupt mein Geld zurück bekomme 😡😡😡;shoes;Lieferung
27;Leider haben wir die bestellte Ware nicht erhalten. Geliefert wurde zwar der richtige original Karton, aber leider mit dem falschen Schuh darin. Wir haben diesen dann wieder zurück gesendet.Nach langer Bearbeitungszeit wurde uns dann zwar der Schuh wieder gutgeschrieben, aber die Versandkosten leider einbehalten. Erst nach dem wir reklamiert hatten, wurde dann der Versand gutgeschrieben.;shoes;Lieferung
28;Die Schuhe habe ich gleich wieder zurückgeschickt. Als ich den Karton aufmachte kam mir ein unerträglicher Gestank entgegen. Entweder war es die Gummisohle oder der Kleber.;shoes;Qualität
29;Achtung: Nach nur einem halben Jahr löste sich bereits das Futter. Ein Umtausch wurde nicht akzeptiert. Schade - wenn man den Preis beachtet!;shoes;Qualität
30;Im September 2016 die Zehentrenner gekauft, im Juni 2017 ein Seitenriemen ausgerissen. Problemlos kostenfrei Ersatz erhalten ,leider im Juni 2018 wieder das selbe. Die Riemen sind nur eingesteckt verklebt.;shoes;Qualität
31;Ich habe das Paket nicht erhalten;shoes;Lieferung
32;Ich habe mir drei verschiedene Größen bestellt und alle waren nicht optimal verarbeitet. Nike-Zeichen an der Rückseite des Schuhs ist krumm und der Stoff ist an einigen Stellen arg ausgeblichen. Zudem Kleberückstände an der Spitze. Schuh kam nicht in einem Original Nike-Karton. Ich Zweifel hier leider an, dass die Ware Original ist. Daher alle drei Paare zurück!;shoes;Qualität
33;Nach 9 Wochen hinüber.;shoes;Qualität
34;Leider kein Original Vans sneaker sehr schade deswegen ging er zurück! Der Versand war schnell deswegen vergebe ich einen Stern;shoes;Qualität
35;Hallo,wie kann ich Verkäufer kontaktieren, das Pakt kam nie an?;shoes;Lieferung
36;Da muss man noch die Rücksendung bezahlen, da die Größe falsch angegeben wurde.;shoes;Passform
37;Sehr unbequem man kann darin nicht laufen;shoes;Qualität
38;Leider schickt Amazon hier Fälschungen der Originalen Converse Chucks raus, bin sehr enttäuscht!;shoes;Lieferung
39;Nach 10 Mal tragen bereits seitlich defekt. Rücksendung wurde abgelehnt. Würde da nichts kaufen. Hinterher ist man schlauer. Würde gar keinen Stern vergeben wenn es ginge....mies, total mies...;shoes;Qualität
40;Empfindet natürlich jeder anders, für 50€ hab ich mehr erwartet... Da ich persönlich finde, dass sich der Betrag für Schuhe im Mittelfeld bewegt, hätte es auch ein gut verarbeitetes Produkt sein sollen. Ich bin enttäuscht, Größe nicht optimal, Material fühlt sich sehr hart an, an sämtlichen Stellen gelbe Klebereste und die Sohle ist kaum bis gar nicht biegbar... Schuhe gingen zurück... Hinzuzufügen ist aber, dass die Rücksendung ohne Probleme verlief, Geld wurde zügig zurückerstattet...;shoes;Qualität
41;Es wurde eine falsche Größe eine Nummer zu groß geliefert und nach schriftlichen anfragen auf Umtausch gab es von der Firma bis heute keine Antwort. Somit stehen die Schuhe bei mir zu Hause ungenutzt zum Umtausch bereit. Wollte eine doppelte Bezahlung vermeiden. Bin Entäuscht dass sich die Firma nicht gemeldet hat.;shoes;Passform
42;Schuh passt wie angegossen, nur das an und ausziehen bereitet große Probleme;shoes;Passform
43;Kann ich überhaupt nicht empfehlen. Die Schuhe sind so komisch verpackt, dass sie vorne so aufgedreht waren. Das lässt sich nicht mehr zurückbiegen. Meine Tochter weinte immer, da ihre Zehen dann verbogen waren.;shoes;Lieferung
44;Der Stiefel ist für die Übergröße sehr schmal geschnitten!!! Passt also für meine Zwecke nicht! Da die Rücksendekosten zu tragen sind-bitte genau abwägen ob man das Produkt von diesem Shop kaufen will!;shoes;Passform
45;Die Schuhe sind nie bei mir angekommen . Amazon hat dann das Geld erstattet . Bestellt lieber nicht dort. Super ärgerlich so lange zu warten und dann nix zu bekommen;shoes;Lieferung
46;Ich kann leider dazu noch nichts sagen da ich die Tasche noch nicht bekommen habe. Garantiertes Lieferdatum 29.12. Naja ist leider nicht da und Versand fand durch Hermes statt werde nichts mehe bestellen was mit hermes geliefert wird!!;shoes;Lieferung
47;Nach etwas mehr als 12 Monaten (intensiver Verwendung) sind die Versen des Schuhs aufgerissen und damit ist der Schuh unbrauchbar. Für ein Gummistiefel mit diesem Preis absolut nicht tolerierbar!;shoes;Qualität
48;Nicht viel besser als Schlapfen von Deichmann: links und rechts und ungleich verarbeitet, Sohle mit weichem Material unterfüttert, drückt aber im Zehenbereich trotzdem. Verschluss ist schief zu kletten, schaut nicht gut aus. Und, ganz wichtig: ich habe mich nicht wohlgefühlt. Kommen an die von Rohde nicht heran. Kann ich leider nicht weiterempfehlen.;shoes;Qualität
49;Ich habe jetzt rieker Zehentrenner blau, Größe 44 gekauft. Eine Wohltat sie zu tragen. Die Größe 43 schwarz hat nur Schmerzen im Zehenbereich verursacht, da der Steg viel zu hart ist. mfg M. Kurze;shoes;Passform
50;Hätte innerhalb von zwei Tagen ankommen sollen. Lieferdatum wurde mehrmals verschoben...und sowas nennt sich Prime...;shoes;Lieferung
51;Tolle farben gute marke doch dieses paar schlecht verarbeitet lässt sich schwer binden Nicht der übliche gute salomon schuh;shoes;Qualität
52;Der Schuh ist insgesamt sehr eng geschnitten. Die Verarbeitung erscheint gut. Nach dem ersten Tragen bekam ich eine Blase am Spann (Druckstelle!). Nach einem weiteren Versuch schmerzten meine Zehen derart, dass ich einige Tage nicht Walken konnte. Der Schuh scheint viel zu schmal. Mit Modellen anderer Hersteller hatte ich bis zu diesem Zeitpunkt keinerlei Probleme. Ich musste den Terrex retournieren.;shoes;Passform
53;Die von mir bestellten Schuhe sind mir nicht geliefert worden. Laut Sendungsverfolgung liegen die seit drei Wochen in Hamburg bei DHL. Wenn ich DHL schreibe, dann wird mir gesagt das von der Absender und nicht der Empfänger dies reklamieren kann. Als ich dann auf Erstattung bei Amazon gedrückt habe, habe ich einen Code zugesendet bekommen mit dem ich die von mir bestellte Ware zurücksenden kann. Geht ja aber nicht weil ich sie nicht bekommen habe! Der Kaufpreis ist von meinem Konto abgebucht worden und ich bekomme ihn erst erstattet wenn ich nicht erhaltenen Schuhe zurücksende. Ich fühle mich mehr als betrogen und angezockt!;shoes;Lieferung
54;Totaler Mist. Bei mir ist nach einmaligem tragen direkt ein Stück Plastik, was am Absatz befestigt war, abgefallen. Im Endeffekt habe ich 6 Euro erstattet bekommen was sich für Insgesamt (mit Versand) für ca. 20 € die ich bezahlt habe überhaupt nicht lohnt.;shoes;Qualität
55;Ich hatte mir von den ONEMIX-Laufschuhen ein Paar in rot und ein Paar in orange gekauft: bei beiden (!!) Paaren war schon nach nur ca. 100 km GEHEN der Stoff im Fersenbereich durchgescheuert :-(((;shoes;Qualität
56;Tschuldigung aber wann kommen mein bestellen;shoes;Lieferung
57;Ich muss mich leider leider hier vielen vorangegangenen Meinungen anschließen. Das ist für mich keine bekannte Timberland Qualität und die Sohlen machen so schreckliche Töne, das kann man sich nicht vorstellen. Schade eigentlich, weil der Schuh an sich recht schick ist. Aber ich kann das so nicht empfehlen;shoes;Qualität
58;Totaler Fehlkauf.In rechten Schuh läuft komplett vorn das Wasser herein.;shoes;Qualität
59;Schlechte Verarbeitung;shoes;Qualität
60;der Schuh ist zu eng geschnitten;shoes;Passform
61;Das Foto auf der Angebotsseite hat mich dazu verleitet diese Tasche zu bestellen. Schon der chemische Geruch haut einen um und das 'Leder' ist sehr dünn, alles in allem sieht die Tasche ganz einfach billig aus, ist schade, denn im Inneren ist sie gut genäht mit vielen Innentaschen. Leider ist das eine Rücksendung.;shoes;Qualität
62;Beim reinschlüpfen ist die hintere Verstärkung an der Ferse kaputt gegangen.;shoes;Qualität
63;Die angenähte Fee-Figur ist nach ein paar Tagen komplett abgefallen und schon nach kurzer Zeit (ca 2 Monaten) sind an beiden Fußspitzen Löcher entstanden, obwohl, der Schuhe passt, d.h. NICHT zu klein ist. Nicht empfehlenswert.;shoes;Qualität
64;Die bestellten roten Chucks sind ein Plagiat. Die Schrift ist eine völlig andere.;shoes;Qualität
65;Das Leder ist zu dünn, daher als Schneestiefel nicht sonderlich empfehlenswert.;shoes;Qualität
66;Der größte Schrott! Habe das Modell wie im Bild abgebildet bestellt, bekommen habe ich allerdings ein komplett anderes!! Statt Größe 30 Größe 37, statt pink, mit Klettverschluss und Lack Elementen, weiß geschnürt und ohne Lack! Ich dachte zuerst ich hätte versehentlich etwas angeklickt und es wäre nicht meine Bestellung! Nie wieder lasst bloß die Finger davon! Ich hoffe, dass ich mein Geld zurück erstattet bekomme;shoes;Lieferung
67;Wie soll ich einen Schuh bewerten, denn ich gar nicht erhalten habe. Diese Bestellung ist kein Stern Wert: Erst ist das Paket unterwegs, Dann wird es storniert durch Verkäufer und jetzt soll ich bewerten?;shoes;Lieferung
68;Größe 44-45 bestellt aber die Schuhe die ich erhalten habe sind maxima ca. Größe 41. Qualität und Verarbeitung sind ok, aber das bringt irgendwie nicht viel wenn der Schuh dann meinem Mann 4 Schuhgrößen zu klein sind.;shoes;Lieferung
69;Miserabel. Warte bis heute drauf. Keine Reaktion.;shoes;Lieferung
70;Lieferung bin Von 24h top... Aber Tragen der Schuhe nach genau Einem Tag löste sich die Sohle ab und das, zum weiteren ist der Ganze Schuh aus einem Material wo KEINE Luft Rein NOCH Raus kommt.. 30min Laufen und Die Füße oder Soken sind Nass;shoes;Qualität
71;2 paar Schuhe bestellt beide in falscher Größe geliefert. Sogar der linke und der rechte haben sich bei einem Paar in der Größe unterschieden.;shoes;Lieferung
72;Artikel nie erhalten. Einmalige Antwort vom Verkäufer. Danach war das Email Postfach ungültig! Bestellt bei DJT Sneaker and fashion. Sehr ärgerlich.;shoes;Lieferung
73;Wäre ein Ostergeschenk gewesen, trotz mehrmaliger Ankündigung der Lieferung, sind die Schuhe nach 2 Wochen immer noch nicht eingetroffen. Sehr enttäuschend!;shoes;Lieferung
74;Der Rucksack ist nicht so wie auf den Fotos. Die Träger sind nicht aus Leder sondern aus Textil. Finde es echt schade das man die Ware nicht so bekommt wie es in den Fotos auch zu sehen ist. ÄRGERLICH 😡😡;shoes;Qualität
75;Leider nach 10-20 mal tragen ist die Sohle gerissen. Danach könnte der Schuh in die Tone.;shoes;Qualität
76;Der Artikel kam nicht an, das Geld wurde nicht erstattet, und der Verkäufer reagiert nicht auf Nachrichten!! Werde dort nichts mehr bestellen!!;shoes;Lieferung
77;Wie habe ich mich gefreut, als die Hausschuhe ankamen. Die Freude währte nicht lange. Bereits nach drei Monaten geringer Beanspruchung gerieten die Schuhe aus der Form, nach nur einem knappen Jahr waren sie nicht kaputt gegangen, sondern buchstäblich zerfallen. Da war ich fassungslos.;shoes;Qualität
78;Schuh fällt leider extrem klein aus. Gut 1 1/2 bis 2 Größen weichen bei Damengrößen ab.;shoes;Passform
79;Die Sohle war schnell kaputt...;shoes;Qualität
80;Der Schuh ist sehr leicht und die Sohle ist sehr weich jedoch löste ich bei mir nach 2 Monaten die Sohle an der Klebestelle der Ferse ab. Das ist nach so kurzer Zeit nicht akzeptabel.;shoes;Qualität
81;Ich habe den Schuh in 43 bestellt, normalerweise trage ich 42. Gepasst hätte er genau. Er war auch super weich und bequem. Leider konnte ich den Schuh nicht behalten, weil er ganz fürchterlich gestunken hat.;shoes;Qualität
82;das paket ist nie angekommen!;shoes;Lieferung
83;Leider habe ich die komplett falschen Hausschuhe bekommen. Es waren Stiefel und mit den Pantoletten gar keine Ähnlichkeit. Somit hatte ich jetzt nur Mühe mit dem Zurückschicken.;shoes;Lieferung
84;"Wer ""billig"" kauft, kauft teuer. Nach nicht mal zwei Monaten war der Absatz kaputt.";shoes;Qualität
85;Hi ich habe bis heute keine ware erhalten wie lange mus ich noch warten . mfg beka;shoes;Lieferung
86;Ware noch nicht erhalten, im voraus bezahlt und vom Konto gezogen!;shoes;Lieferung
87;Ich habe es nur 5 Tagen getragen und die sehen so schlecht aus wie nach ein Jahr.;shoes;Qualität
88;Ich bin sehr unzufrieden. Der Artikel rutscht unter den Füßen weg und ist nichf stabil. Gute Idee, aber ein Fehlkauf.;shoes;Qualität
89;Hat keine Vorteile gegenüber meinen alten Einlagen,nur wesentlich teurer,das Geld kann man sich sparen.;shoes;Qualität
90;Ich schicke die Schuhe zurück weil in den Schuhen kein Schild dran war;shoes;Qualität
91;Zu groß, deshalb Rücksendung angefordert.;shoes;Passform
92;Nach nicht mal einem Monat gerissen. Ein Produkt für Kinder sollte meiner Meinung nach strapazierfähiger sein.;shoes;Qualität
93;Optisch wissen die Schuhe durchaus zu gefallen, tragen sich auch gut. Leider löst sich nach 2,5 Monaten die Sohle, just 10 Tage nach Ablauf der Rücknahme durch den Verkäufer. Anscheinend sind die Schuhe nur mangelhaft gefertigt, weshalb ich davon abrate und mir auch keine weiteren dieser Art kaufen werde.;shoes;Qualität
94;Sind definitiv nicht wasserfest, beim ersten Tragen richtig nasse Füße! Ich habe die Schuhe eine Nummer größer gekauft, passt gut!;shoes;Qualität
95;Es handelt sich um eine Fälschung!;shoes;Qualität
96;Bestellte Größe 40 fällt komischerweise viel zu klein aus! Bestelle immer Clarks Funny dreams und normal passen die immer. Musste die Schuhe zurückschicken!;shoes;Passform
97;Ich bin stink sauer habe die Schuhe im Oktober bestellt und sollten schon längst da sein. Der Hersteller reagiert auch auf keine Nachrichten. Bitte nicht bestellen ist nur abzocke!!!! Eigentlich ist dieser eine Stern schon zu viel;shoes;Lieferung
98;Vor einem Jahr bereits bestellt und Originale erhalten. Diesmal leider nicht ...;shoes;Qualität
99;Also ich kaufe schon seit Jahren Bugatti Schuhe für die Arbeit. Und ich habe sogar bereits dieses Modell seit über einem Jahr getragen. Mittlerweile sahen die aber nicht mehr schön aus. Deswegen habe ich mich entschlossen, nochmal die gleichen zu bestellen. Leider muss ich sagen, dass diese nach 3 mal tragen schon sooo schlecht aussehen! Überall geht die Farbe ab und überall sind helle Flecken. Ich war noch nie so enttäuscht von Bugatti wie jetzt von diesem Paar. Am liebsten würde ich die Schuhe zurückschicken.;shoes;Qualität
100;Muss die Pantoffeln leider zurückschicken. Mein Mann hat Schuhgrösse 46. Ich habe den Artikel in Grösse 47 bestellt - ist um Einiges zu klein. Grössenangaben sehr unzuverlässig. Bisher hatte ich andere Giesswein Hausschuhe regelmässig bestellt - jeweils eine Nummer grösser - hat immer gepasst. Jetzt gebe ich es auf.;shoes;Passform
101;Diese Tasche kann ich leider nicht bewerten weil ich dieses Modell nicht bekommen habe,sondern eine ganz andere ,ich habe das falsche Modell nur behalten weil die Größe und die Farbe in Ordnung waren;shoes;Lieferung
102;Die Sohle ist absolut ungeeignet für Schotter Straßen da sich die offenen Waben voll mit Steinen hängen. Sohle ist super weich und bequem.;shoes;Qualität
103;Anfangs war ich sehr zufrieden, doch nach ein paar Wochen hat sich dann plötzlich die Sohle gelöst. Dort wo es eigentlich keinen Sinn macht, nämlich in der Mitte, wo keine Berührung zum Boden stattfindet (siehe Foto). Kann mir das nicht erklären, da es auch auf beiden passiert ist. Vermute einen Materialfehler.;shoes;Qualität
104;Keine Lieferung trotz Bezahlung bekommen, Geld soll zurück überwiesen werden, warten wir es mal ab. Trotzdem sehr Schade, war ein Weihnachtsgeschenk, und nun? Amazon sollte seine Lieferanten mal prüfen! Wenigstens war der telefonische Kontakt zufrieden stellend.;shoes;Lieferung
105;Habe Gr.38 umd auch in 38 bestellt, fielen sehr klein aus, die Laschen an beiden Schuhen waren nicht glatt umd drückten, deshalb musste ich sie leider zurücksenden;shoes;Lieferung
106;Qualitativ minderwertige Hausschuhe. Für den Preis nicht akzeptabel! Die Sohle löst sich bereits nach kurzer Zeit.;shoes;Qualität
107;Reißverschluss ist gleich schon am zweiten Tag im Urlaub kaputt gegangen. Echt ärgerlich, deswegen auch nur einen Stern. Keine 20 Euro wert.;shoes;Qualität
108;Kundenservice wird hier nicht gewährt. Habe den Schuh bestellt, allerdings stand bei amazon 3 wochen wird zugestellt. Mein vater hat diesen in der Hektik angenommen und es vergessen zu erzählen. Ich habe die Firma kontaktiert und den abliefernachweis bekommen. Erst ab dan konnte ich eine Rücksendung anfordern! Diese wurde abgelehnt, mit der Begründung das ich zu spät bin. Allerdings war das Feld der Rücksendung ausgegraut!;shoes;Lieferung
109;Der Schuh hat eine sehr schlechte Qualität. Die Sohle ist aus Plastik und ist sehr unbequem. Ich hab ihn direkt wieder zurück geschickt;shoes;Qualität
110;Ich habe mich gefreut, endlich eine Tasche in dieser Größe gefunden zu haben. Heute ist sie angekommen und da musste ich feststellen, die Maße stimmen nicht mit der Beschreibung überein. Die Tasche, die ich erhalten habe, ist wesentlich größer. Echt schade.;shoes;Passform
111;Völlig unbrauchbar, nur ein dreieckiges Stück Nylon... ich bin enttäuscht und muss noch sieben Wörter schreiben um die Rezension abzuschließen;shoes;Qualität
112;Schlechte Qualität, nach 3 Monaten Tragezeit löste sich die Sohle (bei Timberland nur geklebt).. Letztlich ist der Timberland Boot ein teures Wegwerfprodukt Made in einem Billiglohnland, der Dominikanischen Republik. Sehr schade und natürlich auch sehr ärgerlich, wenn man bedenkt, wie teuer die sind und das man hier an Kleber spart.;shoes;Qualität
113;Leider ist beim dritten mal anziehen schon eines der Löcher für die Schnürsenkel ausgerissen. Der Schuh ist zwar günstig, aber 30 Euro sind in diesem Fall noch zu viel.;shoes;Qualität
114;die Füße schwitzen nach kurzer Zeit in den Schuhen, die einliegenden Sohlen verrutschen bei jedem anziehen und zerknittern dann, ein Schnürsenkel ist nach 4 Wochen kurz vor dem abreißen.;shoes;Qualität
115;Ich wollte mir nach einem Schuh vom Diskonter extra was hochwertiges kaufen,leider hat der teure Schuh nicht mal ein Jahr gehalten,undicht war er eh schon nach 4 Monaten.Jetzt fällt die Sohle ab und das Gewebe ist durchgescheuert. Im Einsatz war der Schuh nur für Hundespaziergänge,Wiese und Wald.;shoes;Qualität
116;Tasche sieht optisch wirklich sehr schick aus. Leider ist sie nach dem ersten Tragen bereits kaputt gegangen. Auf Rückerstattung habe ich bis heute keine Antwort erhalten. Sehr ärgerlich! Leider nicht zu empfehlen...;shoes;Qualität
117;Schuhgröße wird kleiner als angegeben verschickt ergo die Schuhe passen nicht und man bekommt das Geld nicht zurück..... Alles Top? Mit nichten!;shoes;Passform
118;Habe eigentlich Grösse 39 und habe den Schuh in Grösse 40 bestellt. Der Schuh ist viel zu eng. Und irgendwie fühlt der Schuh sich auch billig an. Schade;shoes;Passform
119;Leider nach einigen Monaten schon defekt !;shoes;Qualität
120;Die Lieferung ist noch nicht erfolgt;shoes;Lieferung
121;Die Sandalen sehen sehr hübsch aus, doch leider sind die Riemchen sehr dünn. Auch ist die Passform nicht optimal. Beim verschließen liegt der Riemen nichts mehr an. Die Sandale ist hübsch, aber irgendwie billig gemacht recht dünnes Leder, für eine Sandale die auch strapaziert wird ist dieses wenig vertrauensvoll. Sie ging zurück.;shoes;Passform
122;Zu teuer, schlechte Qualität, n7cht zu empfehlen !!!;shoes;Qualität
123;Die sehr knapp geschnittene, kleine Börse öffnet man mit zwei Druckknöpfen - meist mit dem falschen. Letztlich für mich unbrauchbar.;shoes;Qualität
124;Ich warte jetzt schon eineinhalb monate und es tut sich gar nichts. Inder sendungsverfolgung steht nach wie vor, dass die Tasche am 9. Januar kommen soll. Nichts ist passiert. Habe den Verkäufer schon 2 mal angeschrieben und keinerlei Reaktion erhalten. Nicht zu empfehlen 😡;shoes;Lieferung
125;Da meine Bestellung bislang nicht eingetroffen ist, kann ich zu dem Artikel nichts sagen... leider hat sich der Verkäufer bislang nicht zu dem Problem des nicht erhaltenen Artikels geäußert!;shoes;Lieferung
126;Optisch ei sehr schöner Schuh. Leider nicht tragbar. Ich hab SG 43. hab ihn in der 44 und 44,5 ausprobiert. er ist einfach zu eng und fühlt sich wie ein ganz harter plastikschuh an... Schade hätte ihn gern getragen, weil er einfach richtig schick aussieht.;shoes;Passform
127;leider kann ich den Artikel nicht empfehlen. Nach nur ca. 10 Nutzungen in 12 Monaten ist der Schließmechanismus defekt und die Innenverkleidung abgerissen. Von außen sieht es aber noch aus wie neu (nützt nur leider nichts).;shoes;Qualität
128;die Stiefel sind nach vier wochen tragen die Sohle abgegangen sehr schlechte stiefel bin nur enttäuscht darüber werde nichts mehr bestellen;shoes;Qualität
129;Leider muss ich feststellen, dass die Qualität der Schuhe nicht dem entspricht, was ich erwartet habe. Bereits nach 10 Wochen habe ich ein Loch im linken Schuh (s. Bild). Auch am rechten Schuh deutet sich bereits an gleicher Stelle ein weiteres Loch an. Habe die Schuhe im täglichen Gebrauch, aber sie sollten doch länger halten als 12 Wochen. Leider ist die Rücksendezeit bereits abgelaufen, sonst gingen sie umgehend zurück. Ansonsten ein bequemer leichter Schuh.;shoes;Qualität
130;Extra 1 Nummer größer bestellt, trotzdem mindestens 2 Nummern zu klein..;shoes;Passform
131;Der Klettverschlüss am vorderen Riemen über den Zehen ist viel zu kurz. Er überlappt nur etwa 1 cm. Geht zurück.;shoes;Passform
132;Hausschuhe sind nach einer Woche kaputt gegangen!!;shoes;Qualität
133;Artikel nicht erhalten;shoes;Lieferung
134;Ärgerlich! Schuhe sind nicht aus Leder! Wahrscheinlich keine Originale!;shoes;Qualität
